project,load_zone
MISO_W_GAS_DUAL_FUEL,MISO_W
MISO_W_GAS_SINGLE_FUEL,MISO_W
MISO_W_GEOTHERMAL,MISO_W
MISO_W_HYDRO,MISO_W
MISO_W_LBW,MISO_W
MISO_W_NUCLEAR,MISO_W
MISO_W_OIL,MISO_W
MISO_W_OTHER,MISO_W
MISO_W_PUMPED_STORAGE,MISO_W
MISO_W_UPV,MISO_W
NYISO_BATTERY_STORAGE,NYISO
NYISO_BIOMASS,NYISO
NYISO_COAL,NYISO
NYISO_DGPV,NYISO
NYISO_DR,NYISO
NYISO_GAS_DUAL_FUEL,NYISO
NYISO_GAS_SINGLE_FUEL,NYISO
NYISO_GEOTHERMAL,NYISO
NYISO_HYDRO,NYISO
NYISO_LBW,NYISO
NYISO_NUCLEAR,NYISO
NYISO_OIL,NYISO
NYISO_OSW,NYISO
NYISO_OTHER,NYISO
NYISO_PUMPED_STORAGE,NYISO
NYISO_UPV,NYISO
PJM_E_BATTERY_STORAGE,PJM_E
PJM_E_BIOMASS,PJM_E
PJM_E_COAL,PJM_E
PJM_E_DGPV,PJM_E
PJM_E_DR,PJM_E
PJM_E_GAS_DUAL_FUEL,PJM_E
PJM_E_GAS_SINGLE_FUEL,PJM_E
PJM_E_GEOTHERMAL,PJM_E
PJM_E_HYDRO,PJM_E
PJM_E_LBW,PJM_E
PJM_E_NUCLEAR,PJM_E
PJM_E_OIL,PJM_E
PJM_E_OSW,PJM_E
PJM_E_OTHER,PJM_E
PJM_E_PUMPED_STORAGE,PJM_E
PJM_E_UPV,PJM_E
PJM_S_BATTERY_STORAGE,PJM_S
PJM_S_BIOMASS,PJM_S
PJM_S_COAL,PJM_S
PJM_S_DGPV,PJM_S
PJM_S_DR,PJM_S
PJM_S_GAS_DUAL_FUEL,PJM_S
PJM_S_GAS_SINGLE_FUEL,PJM_S
PJM_S_GEOTHERMAL,PJM_S
PJM_S_HYDRO,PJM_S
PJM_S_LBW,PJM_S
PJM_S_NUCLEAR,PJM_S
PJM_S_OIL,PJM_S
PJM_S_OSW,PJM_S
PJM_S_OTHER,PJM_S
PJM_S_PUMPED_STORAGE,PJM_S
PJM_S_UPV,PJM_S
PJM_W_BATTERY_STORAGE,PJM_W
PJM_W_BIOMASS,PJM_W
PJM_W_COAL,PJM_W
PJM_W_DGPV,PJM_W
PJM_W_DR,PJM_W
PJM_W_GAS_DUAL_FUEL,PJM_W
PJM_W_GAS_SINGLE_FUEL,PJM_W
PJM_W_GEOTHERMAL,PJM_W
PJM_W_HYDRO,PJM_W
PJM_W_LBW,PJM_W
PJM_W_NUCLEAR,PJM_W
PJM_W_OIL,PJM_W
PJM_W_OTHER,PJM_W
PJM_W_PUMPED_STORAGE,PJM_W
PJM_W_UPV,PJM_W
SASK_POWER_PROXY_GEN,SASK_POWER
SERC_C_BATTERY_STORAGE,SERC_C
SERC_C_BIOMASS,SERC_C
SERC_C_COAL,SERC_C
SERC_C_DGPV,SERC_C
SERC_C_DR,SERC_C
SERC_C_GAS_DUAL_FUEL,SERC_C
SERC_C_GAS_SINGLE_FUEL,SERC_C
SERC_C_GEOTHERMAL,SERC_C
SERC_C_HYDRO,SERC_C
SERC_C_LBW,SERC_C
SERC_C_NUCLEAR,SERC_C
SERC_C_OIL,SERC_C
SERC_C_OTHER,SERC_C
SERC_C_PUMPED_STORAGE,SERC_C
SERC_C_UPV,SERC_C
SERC_E_BATTERY_STORAGE,SERC_E
SERC_E_BIOMASS,SERC_E
SERC_E_COAL,SERC_E
SERC_E_DGPV,SERC_E
SERC_E_DR,SERC_E
SERC_E_GAS_DUAL_FUEL,SERC_E
SERC_E_GAS_SINGLE_FUEL,SERC_E
SERC_E_GEOTHERMAL,SERC_E
SERC_E_HYDRO,SERC_E
SERC_E_NUCLEAR,SERC_E
SERC_E_OIL,SERC_E
SERC_E_OTHER,SERC_E
SERC_E_PUMPED_STORAGE,SERC_E
SERC_E_UPV,SERC_E
SERC_FL_BATTERY_STORAGE,SERC_FL
SERC_FL_BIOMASS,SERC_FL
SERC_FL_COAL,SERC_FL
SERC_FL_DGPV,SERC_FL
SERC_FL_DR,SERC_FL
SERC_FL_GAS_DUAL_FUEL,SERC_FL
SERC_FL_GAS_SINGLE_FUEL,SERC_FL
SERC_FL_GEOTHERMAL,SERC_FL
SERC_FL_HYDRO,SERC_FL
SERC_FL_NUCLEAR,SERC_FL
SERC_FL_OIL,SERC_FL
SERC_FL_OTHER,SERC_FL
SERC_FL_PUMPED_STORAGE,SERC_FL
SERC_FL_UPV,SERC_FL
SERC_SE_BATTERY_STORAGE,SERC_SE
SERC_SE_BIOMASS,SERC_SE
SERC_SE_COAL,SERC_SE
SERC_SE_DGPV,SERC_SE
SERC_SE_DR,SERC_SE
SERC_SE_GAS_DUAL_FUEL,SERC_SE
SERC_SE_GAS_SINGLE_FUEL,SERC_SE
SERC_SE_GEOTHERMAL,SERC_SE
SERC_SE_HYDRO,SERC_SE
SERC_SE_NUCLEAR,SERC_SE
SERC_SE_OIL,SERC_SE
SERC_SE_OTHER,SERC_SE
SERC_SE_PUMPED_STORAGE,SERC_SE
SERC_SE_UPV,SERC_SE
SPP_N_BATTERY_STORAGE,SPP_N
SPP_N_BIOMASS,SPP_N
SPP_N_COAL,SPP_N
SPP_N_DGPV,SPP_N
SPP_N_DR,SPP_N
SPP_N_GAS_DUAL_FUEL,SPP_N
SPP_N_GAS_SINGLE_FUEL,SPP_N
SPP_N_GEOTHERMAL,SPP_N
SPP_N_HYDRO,SPP_N
SPP_N_LBW,SPP_N
SPP_N_NUCLEAR,SPP_N
SPP_N_OIL,SPP_N
SPP_N_OTHER,SPP_N
SPP_N_PROXY_GEN,SPP_N
SPP_N_PUMPED_STORAGE,SPP_N
SPP_N_UPV,SPP_N
SPP_S_BATTERY_STORAGE,SPP_S
SPP_S_BIOMASS,SPP_S
SPP_S_COAL,SPP_S
SPP_S_DGPV,SPP_S
SPP_S_DR,SPP_S
SPP_S_GAS_DUAL_FUEL,SPP_S
SPP_S_GAS_SINGLE_FUEL,SPP_S
SPP_S_GEOTHERMAL,SPP_S
SPP_S_HYDRO,SPP_S
SPP_S_LBW,SPP_S
SPP_S_NUCLEAR,SPP_S
SPP_S_OIL,SPP_S
SPP_S_OTHER,SPP_S
SPP_S_PROXY_GEN,SPP_S
SPP_S_PUMPED_STORAGE,SPP_S
SPP_S_UPV,SPP_S
